Country,Year,Y,Ymu,Yvar,YmuMinus,YmuPlus,AE,APE,CI
EGY,2021,,42576.20647759587,0.7310336795335295,27436.40137725311,57716.01157793863,,,30280.0
EGY,2022,,40402.93824239771,1.190802913429845,21080.07252810803,59725.80395668741,,,38646.0
EGY,2023,,37238.96848349113,1.799697821938473,13484.16800776374,60993.76895921852,,,47510.0
ERI,2017,564475.0,433480.2448808408,0.8243597371014371,209522.2179830693,657438.2717786124,130995.0,23.0,447916.0
ERI,2018,585765.0,432950.2403705581,0.8923196114061844,199943.5100701171,665956.970670999,152815.0,26.0,466013.0
ERI,2019,,425754.1849809278,0.9676828263456052,183107.2759448478,668401.0940170079,,,485294.0
ERI,2020,,413609.380563674,1.042409335493333,161767.8253154877,665450.9358118604,,,503683.0
ERI,2021,,398470.6848314726,1.109173236364593,138689.3538866568,658252.0157762882,,,519563.0
ERI,2022,,382223.8329982372,1.163220851675987,116188.4905357505,648259.1754607239,,,532071.0
ERI,2023,,366444.9866451345,1.20302963463582,95895.68988470486,636994.2834055643,,,541099.0
ETH,2017,221066.0,140547.3501310902,0.7338129152314251,-260949.6421762637,542044.3424384441,80519.0,36.0,802994.0
ETH,2018,225412.0,130157.6431391659,0.8575207791011009,-303864.5597677348,564179.8460460666,95254.0,42.0,868044.0
ETH,2019,,117772.8717587078,1.029947283705901,-357887.6620870256,593433.4056044412,,,951321.0
ETH,2020,,103942.3238248296,1.260576556803858,-422286.0167629309,630170.66441259,,,1052457.0
ETH,2021,,89236.37154425113,1.558227643743237,-495829.9145497518,674302.6576382542,,,1170133.0
ETH,2022,,74221.00606666935,1.930413154381426,-576979.5381521254,725421.5502854642,,,1302401.0
ETH,2023,,59435.20355394862,2.38272413471498,-664044.7509206401,782915.1580285373,,,1446960.0
GIN,2017,54837.0,45571.70047431077,0.01691222441787685,42568.40654636518,48574.99440225636,9265.0,17.0,6007.0
GIN,2018,56486.0,49122.22913594528,0.0372038202092094,44667.80835118721,53576.64992070335,7364.0,13.0,8909.0
GIN,2019,,51722.92938350892,0.08006109521189328,45188.49148351356,58257.3672835043,,,13069.0
GIN,2020,,53238.34037628729,0.1576281187515792,44069.50198904787,62407.17876352672,,,18338.0
GIN,2021,,53619.13843222112,0.281930629059473,41356.93260301012,65881.34426143212,,,24524.0
GIN,2022,,52900.29732528866,0.4619461285944513,37204.14743003705,68596.44722054026,,,31392.0
GIN,2023,,51190.21896701661,0.700817371763908,31857.19003575324,70523.24789827997,,,38666.0
GTM,2017,88989.0,60527.2404638494,0.7211668681532146,7381.220591626654,113673.2603360721,28462.0,32.0,106292.0
GTM,2018,105977.0,71099.16820294235,0.9269841377310828,10844.73384361179,131353.6025622729,34878.0,33.0,120509.0
GTM,2019,,79735.55094634197,1.222101877221428,10551.40754754803,148919.6943451359,,,138368.0
GTM,2020,,86022.43070669059,1.606742132536199,6694.531453869757,165350.3299595114,,,158656.0
GTM,2021,,89816.85019948019,2.068136027864224,-183.1297421507188,179816.8301411111,,,180000.0
GTM,2022,,91214.73814107277,2.582001887226786,-9346.622330072802,191776.0986122184,,,201123.0
GTM,2023,,90497.46965268899,3.11678674527387,-19988.31559187374,200983.2548972517,,,220972.0
HND,2017,74189.0,72457.02538559321,0.01572011561100473,70092.58032735152,74821.4704438349,1732.0,2.0,4729.0
HND,2018,95341.0,110081.8297118948,0.0784435701246209,104800.0530335008,115363.6063902887,14741.0,15.0,10564.0
HND,2019,,160078.8620695187,0.308959640118958,149596.6670752236,170561.0570638137,,,20964.0
HND,2020,,224068.3997712697,0.9907269830803513,205297.7911357988,242839.0084067406,,,37541.0
HND,2021,,303270.5073303321,2.72041698948877,272166.3028512914,334374.7118093727,,,62208.0
HND,2022,,398360.6818550418,6.622347849841647,349831.0101250015,446890.353585082,,,97059.0
HND,2023,,509348.8199568563,14.62794293216237,437222.6305902504,581475.0093234621,,,144252.0
HTI,2017,65418.0,47810.16126084066,0.1366597992251369,37254.25564986386,58366.06687181746,17608.0,27.0,21112.0
HTI,2018,68471.0,47382.9307062774,0.1916936959187446,34880.94424046175,59884.91717209305,21088.0,31.0,25004.0
HTI,2019,,46279.54159584173,0.2712842791211837,31406.9236202029,61152.15957148057,,,29745.0
HTI,2020,,44592.79970729009,0.3709178078962645,27202.22432530948,61983.3750892707,,,34781.0
HTI,2021,,42467.80894839017,0.4809848561715725,22664.3610357681,62271.25686101226,,,39607.0
HTI,2022,,40079.89026506869,0.5896863585045806,18152.56546909999,62007.21506103739,,,43855.0
HTI,2023,,37609.43128674089,0.686538571516926,13949.82136828495,61269.04120519684,,,47319.0
IND,2017,48239.0,38462.10499096838,0.08718799354999451,32203.81438314655,44720.3955987902,9777.0,20.0,12517.0
IND,2018,61334.99999999999,39893.34642139934,0.1660757631549473,31255.99653221371,48530.69631058499,21442.0,35.0,17275.0
IND,2019,,39736.6380432779,0.2998274568905469,28131.1586469708,51342.117439585,,,23211.0
IND,2020,,38137.25797469332,0.4832207020835858,23403.95396244085,52870.5619869458,,,29467.0
IND,2021,,35481.83988984549,0.6938927849789479,17826.60214178099,53137.07763790998,,,35310.0
IND,2022,,32266.9318272282,0.901160686541602,12146.90743313507,52386.95622132134,,,40240.0
IND,2023,,28969.53614521046,1.078410977053116,6959.561905494384,50979.51038492654,,,44020.0
IRN,2017,193678.0,110373.4078507965,1.000122665503914,63176.43529283607,157570.380408757,83305.0,43.0,94394.0
IRN,2018,217243.0,110373.4079198693,1.000122665503914,63176.43536190883,157570.3804778297,106870.0,49.0,94394.0
IRN,2019,,110373.4079735765,1.000122665503915,63176.43541561598,157570.3805315369,,,94394.0
IRN,2020,,110373.4080108999,1.000122665503915,63176.43545293938,157570.3805688604,,,94394.0
IRN,2021,,110373.4080316632,1.000122665503916,63176.43547370272,157570.3805896237,,,94394.0
