Country,Year,Y,Ymu,Yvar,YmuMinus,YmuPlus,AE,APE,CI
ERI,2021,,609077.3716440918,1.39859536468339,317365.3756397505,900789.367648433,,,583424.0
ERI,2022,,609048.0395882272,1.658665743082829,291369.6414468468,926726.4377296076,,,635357.0
ETH,2017,221066.0,385599.3198906232,0.2797666100597452,137693.0213911648,633505.6183900815,164533.0,74.0,495813.0
ETH,2018,225412.0,615929.6855098312,0.5818758584756906,258406.0233540999,973453.3476655624,390518.0,173.0,715047.0
ETH,2019,,951260.2476744415,1.454784814439485,385947.211807235,1516573.283541648,,,1130626.0
ETH,2020,,1413601.737753172,3.598520043673638,524499.7448871927,2302703.730619152,,,1778204.0
ETH,2021,,2023190.982695449,8.276975446362634,674770.1484978839,3371611.816893014,,,2696842.0
ETH,2022,,2796984.415735001,17.59125745095677,831190.1540947321,4762778.677375269,,,3931589.0
ETH,2023,,3747237.674327135,34.79806322866367,982415.7979842401,6512059.55067003,,,5529644.0
GIN,2017,54837.0,47721.40919229234,0.01850645529682154,44579.74984145831,50863.06854312636,7116.0,13.0,6283.0
GIN,2018,56486.0,53807.38289673001,0.03502697433724094,49485.24335938791,58129.52243407212,2679.0,5.0,8644.0
GIN,2019,,59865.77470737552,0.06847807114384225,53822.48754982711,65909.06186492393,,,12087.0
GIN,2020,,65708.82357758432,0.1291683440012883,57408.87278771988,74008.77436744876,,,16600.0
GIN,2021,,71150.2588217101,0.2301905885342266,60070.22073526883,82230.29690815137,,,22160.0
GIN,2022,,76015.54909416141,0.3868452626970194,61651.85613429341,90379.24205402943,,,28727.0
GIN,2023,,80151.17860671777,0.6155551463174445,62032.31503757904,98270.0421758565,,,36238.0
GTM,2017,88989.0,10838.11192448647,0.8271876052919497,-46080.57486725365,67756.79871622659,78151.0,88.0,113837.0
GTM,2018,105977.0,4486.785400706234,0.8327846709226011,-52624.14347419372,61597.71427560619,101490.0,96.0,114222.0
GTM,2019,,-1998.274422329916,0.8453078068278187,-59537.00847491436,55540.45963025452,,,115077.0
GTM,2020,,-8199.695377935903,0.8693528052811609,-66551.04325901798,50151.65250314618,,,116703.0
GTM,2021,,-13704.68651636005,0.910341756772031,-73415.78963113046,46006.41659841035,,,119422.0
